label,centroid-0,centroid-1,131Xe,138Ba,CD19,PDPN,CD10,CD21,BCL-2,CD23,PD-L1,CD31,152Sm,CD44_CD103,CD11c,FoxP3,CD4,CD226,CD68,CD20,CD8a,BCL-6,PD-1,Ki-67,Collagen,CD3e,Histone,CD25,HLA-DR,CK,191Ir,193Ir,ICSK1,ICSK2,ICSK3,208Pb
1,12.050156739811912,5.554858934169279,25.398204803466797,0.11894872039556503,0.02821316570043564,0.025933202356100082,0.01642034947872162,0.046588752418756485,0.015673981979489326,0.012539184652268887,0.028148699551820755,0.02707792818546295,0.012539184652268887,0.017897367477416992,0.021943572908639908,0.018808776512742043,0.006269592326134443,0.006269592326134443,0.006269592326134443,0.009404388256371021,0.006269592326134443,0.0,0.004699030425399542,0.0,0.0,0.006269592326134443,0.0,0.0031347961630672216,0.0031347961630672216,0.0039838082157075405,0.03406830132007599,0.006269592326134443,0.054486874490976334,0.07440424710512161,0.1897388994693756,0.2424173206090927
2,4.707762557077626,22.19178082191781,25.533294677734375,0.08060377091169357,0.027397260069847107,0.01826483942568302,0.028582267463207245,0.046621814370155334,0.03652967885136604,0.03883286565542221,0.01828962191939354,0.03063363954424858,0.02364693209528923,0.013698630034923553,0.00913241971284151,0.0,0.009370996616780758,0.0,0.013972393237054348,0.009134876541793346,0.00913241971284151,0.00913241971284151,0.0,0.0,0.0,0.0,0.004566209856420755,0.0,0.004566209856420755,0.0,0.013698630034923553,0.015837527811527252,0.049954645335674286,0.039680298417806625,0.19415125250816345,0.2511354982852936
3,8.836363636363636,47.872727272727275,25.10888671875,0.12399991601705551,0.03427194058895111,0.020567571744322777,0.013636363670229912,0.013636363670229912,0.0181818176060915,0.0,0.013636363670229912,0.01707243174314499,0.0181818176060915,0.027331339195370674,0.0,0.00909090880304575,0.004545454401522875,0.0,0.0,0.004545454401522875,0.004545454401522875,0.004545454401522875,0.0,0.0,0.004545454401522875,0.0,0.004545454401522875,0.0,0.0,0.004545454401522875,0.022727273404598236,0.025247303768992424,0.045426659286022186,0.0421363040804863,0.2571353018283844,0.23701532185077667
4,8.05703422053232,75.0190114068441,25.177961349487305,0.09433714300394058,0.03464049845933914,0.011406844481825829,0.015209125354886055,0.022813688963651657,0.03085683286190033,0.03997411951422691,0.011406844481825829,0.03041825070977211,0.0407022088766098,0.015980277210474014,0.011406844481825829,0.027023732662200928,0.0038022813387215137,0.0,0.0038022813387215137,0.0,0.0,0.0,0.0,0.0076045626774430275,0.009306144900619984,0.0,0.05219085142016411,0.0038022813387215137,0.07497519999742508,0.0038022813387215137,0.0076045626774430275,0.0547344945371151,0.04271869361400604,0.12110245227813721,0.13517265021800995,0.23277728259563446
5,4.657657657657658,92.02702702702703,25.53727149963379,0.08824889361858368,0.036036036908626556,0.022885611280798912,0.09958165138959885,0.04229425638914108,0.051289334893226624,0.03153153136372566,0.03254668787121773,0.029510272666811943,0.35204246640205383,0.06974321603775024,0.02837838977575302,0.018179042264819145,0.009009009227156639,0.018018018454313278,0.014651679433882236,0.013513513840734959,0.04833089932799339,0.018018018454313278,0.0045045046135783195,0.02467990852892399,0.12343506515026093,0.04781901463866234,6.121496200561523,0.5312656760215759,1.4229010343551636,0.04917173087596893,1.2961480617523193,2.627521514892578,0.9735362529754639,2.204050302505493,0.19388553500175476,0.22101077437400818
6,11.677536231884059,107.4927536231884,25.463653564453125,0.10365544259548187,0.28168049454689026,0.18575716018676758,1.6975818872451782,0.44187453389167786,1.361269474029541,0.29746589064598083,0.3365302085876465,0.23140397667884827,7.985246181488037,1.3142143487930298,0.3790762424468994,0.16743610799312592,0.6243537068367004,0.2656306326389313,0.646183431148529,0.4091669023036957,0.578049898147583,0.2519717812538147,0.10291798412799835,0.3022209405899048,1.5480399131774902,2.824479103088379,113.54512786865234,10.968154907226562,10.054418563842773,0.5694228410720825,32.28301239013672,62.927181243896484,21.695354461669922,89.59017944335938,2.5316967964172363,0.26670825481414795
7,5.641025641025641,136.44444444444446,25.585229873657227,0.13745151460170746,0.23350760340690613,0.17325584590435028,2.1083602905273438,0.6273316144943237,1.5413810014724731,0.31295260787010193,0.39870670437812805,0.831767201423645,8.497838020324707,1.6755735874176025,0.5027738809585571,0.23090261220932007,0.7778306007385254,0.2520136833190918,0.8953390121459961,0.2415897399187088,0.48347362875938416,0.24471713602542877,0.15455147624015808,0.31276625394821167,0.3652850091457367,3.4921865463256836,108.81729125976562,10.39806079864502,10.418327331542969,0.5772233009338379,31.53392219543457,64.37494659423828,26.457807540893555,76.2540512084961,2.9325342178344727,0.19155636429786682
8,9.892561983471074,147.28099173553719,25.69256019592285,0.1141626164317131,0.24927851557731628,0.1359235644340515,1.9851500988006592,0.4519330561161041,1.5280582904815674,0.2894212007522583,0.35456347465515137,0.5762152075767517,5.740232467651367,1.3485649824142456,0.3528727889060974,0.14438901841640472,0.6080971956253052,0.27125653624534607,0.6293546557426453,0.38173460960388184,0.1858661025762558,0.2021407037973404,0.11107412725687027,0.279706209897995,0.3311692476272583,2.6929001808166504,78.56714630126953,8.698151588439941,6.059144020080566,0.3463260233402252,15.04294490814209,30.52646827697754,21.766630172729492,56.79623794555664,3.449186325073242,0.24453862011432648
9,14.823788546255507,157.91189427312776,25.583698272705078,0.07574687898159027,0.23053321242332458,0.19313617050647736,1.6599299907684326,0.41909635066986084,1.8550993204116821,0.27037838101387024,0.35300683975219727,0.265813410282135,8.354132652282715,1.629376769065857,0.5988947153091431,0.17688408493995667,0.5008658766746521,0.2670133709907532,0.444508820772171,0.669942319393158,1.886557698249817,0.2938145101070404,0.12846259772777557,0.23531357944011688,0.24351666867733002,3.4737026691436768,104.4469223022461,10.340654373168945,9.468979835510254,0.45809444785118103,22.552030563354492,42.06970977783203,18.77299690246582,67.2908706665039,3.1641228199005127,0.2478025257587433
10,12.47983870967742,166.95564516129033,25.11223602294922,0.11410496383905411,0.25836169719696045,0.5617256164550781,1.8706574440002441,0.37662988901138306,2.071159601211548,0.38938987255096436,0.39518558979034424,0.5472559928894043,11.589272499084473,1.723338007926941,0.4527762234210968,0.2429591417312622,0.6699406504631042,0.3292311429977417,0.5130026340484619,0.5419037938117981,3.428084373474121,0.4997706115245819,0.21073751151561737,0.3064585030078888,0.374749094247818,4.716277122497559,121.05777740478516,11.880963325500488,8.153657913208008,0.5394760966300964,25.905532836914062,52.555355072021484,19.452913284301758,74.43395233154297,3.4122674465179443,0.23872153460979462
11,8.229226361031518,188.03724928366762,25.241931915283203,0.1540956348180771,0.2759361267089844,1.018488883972168,1.82914137840271,0.4565736651420593,1.670587182044983,0.3412734270095825,0.350385457277298,0.30781421065330505,9.884218215942383,1.4569504261016846,0.5778132081031799,0.24938960373401642,0.6343609094619751,0.35859036445617676,0.9440969824790955,1.238383173942566,0.9897305369377136,0.2671196758747101,0.1098748967051506,0.3130597770214081,0.5673781037330627,3.2295706272125244,106.82383728027344,10.690058708190918,13.781232833862305,0.5016685724258423,21.546308517456055,42.50083541870117,20.130903244018555,69.21270751953125,2.8907666206359863,0.23802722990512848
12,7.092651757188499,207.47923322683707,25.06917953491211,0.14096209406852722,0.3773173391819,0.14471735060214996,1.7104488611221313,0.28832241892814636,1.682616949081421,0.2895635664463043,0.29675233364105225,0.22993679344654083,8.66555404663086,1.525848627090454,0.5449713468551636,0.305092990398407,0.67042475938797,0.2500734031200409,0.7362254858016968,1.1726698875427246,1.096208095550537,0.343468576669693,0.16583536565303802,0.2511563301086426,0.3455897271633148,2.6783313751220703,110.84614562988281,10.732208251953125,10.217073440551758,0.4451371431350708,18.105674743652344,36.211669921875,18.683197021484375,70.92945098876953,3.4546546936035156,0.2653348445892334
13,9.01048951048951,227.13286713286712,25.250539779663086,0.18104535341262817,0.31472036242485046,0.1621578186750412,1.7674047946929932,0.4631847143173218,1.5940518379211426,0.3525564670562744,0.24880610406398773,0.2987506091594696,10.888420104980469,1.5521148443222046,0.7864681482315063,0.25123879313468933,0.7229208946228027,0.3061484396457672,0.8200822472572327,0.8708832263946533,0.8259390592575073,0.28803038597106934,0.20579592883586884,0.18939505517482758,0.3909141421318054,3.3668744564056396,121.41586303710938,11.442877769470215,10.294286727905273,0.5635583996772766,19.557279586791992,38.989200592041016,15.045807838439941,63.17559051513672,2.9811534881591797,0.2715623080730438
