label,centroid-0,centroid-1,131Xe,138Ba,CD19,PDPN,CD10,CD21,BCL-2,CD23,PD-L1,CD31,152Sm,CD44_CD103,CD11c,FoxP3,CD4,CD226,CD68,CD20,CD8a,BCL-6,PD-1,Ki-67,Collagen,CD3e,Histone,CD25,HLA-DR,CK,191Ir,193Ir,ICSK1,ICSK2,ICSK3,208Pb
27,249.6778606549152,228.3647634656766,25.322858810424805,0.12139260768890381,0.17727802693843842,0.13804054260253906,1.574573278427124,0.2586958110332489,1.4089211225509644,0.2302432805299759,0.2745428681373596,0.27719178795814514,8.107789993286133,1.49334716796875,0.6160801649093628,0.20105387270450592,0.7758808732032776,0.2907058298587799,0.5650366544723511,0.41399598121643066,0.5037857294082642,0.2118370682001114,0.12126680463552475,0.13138483464717865,0.15236887335777283,3.4362926483154297,63.05541229248047,6.562549591064453,6.635249614715576,0.3224174380302429,9.433146476745605,18.57256507873535,12.724456787109375,43.69493103027344,3.5125277042388916,0.23495012521743774
28,220.94779116465864,850.1314276714702,25.196998596191406,0.12190859764814377,0.46158862113952637,0.40851539373397827,2.2099809646606445,4.188996315002441,1.4396759271621704,0.3750937283039093,0.35356995463371277,0.21624630689620972,17.239850997924805,1.1838997602462769,0.8729988932609558,0.2517216205596924,0.6903710961341858,0.22655943036079407,1.4673691987991333,2.3824400901794434,0.5418360233306885,0.7026665806770325,0.361299991607666,0.8777231574058533,0.2663138508796692,1.599763035774231,99.84032440185547,10.481959342956543,33.82191467285156,0.8045059442520142,11.838041305541992,23.35283851623535,14.91075611114502,45.125728607177734,4.410513401031494,0.24750268459320068
29,306.88876319758674,771.7105329311212,25.383485794067383,0.11679468303918839,0.3801356554031372,0.3652687966823578,1.9520783424377441,1.9968104362487793,1.2549560070037842,0.2441786229610443,0.2792668640613556,0.16907650232315063,7.068881988525391,1.1830856800079346,0.7321115136146545,0.18510310351848602,0.32196274399757385,0.1733245551586151,1.182355284690857,2.180593490600586,0.3161565959453583,0.6333489418029785,0.11095811426639557,0.32730573415756226,0.14576207101345062,1.0107215642929077,60.628387451171875,6.889305114746094,12.470442771911621,0.4118936359882355,8.990143775939941,17.859237670898438,12.518579483032227,37.23746109008789,4.642368316650391,0.2339622676372528
30,338.42874561804604,33.48254839201341,25.503250122070312,0.11670242995023727,0.15637153387069702,0.13615679740905762,1.7150455713272095,0.3177593946456909,1.5065150260925293,0.25298985838890076,0.3082781136035919,0.2646888792514801,7.845187187194824,1.6704612970352173,0.6092643141746521,0.21400970220565796,0.8619391322135925,0.3263707160949707,0.5694593787193298,0.27645763754844666,0.47458651661872864,0.19917795062065125,0.12166666984558105,0.14977283775806427,0.1456209272146225,3.985152006149292,69.48939514160156,7.301562786102295,10.401305198669434,0.39256301522254944,10.878172874450684,21.560075759887695,14.433391571044922,49.653072357177734,3.727369785308838,0.22988654673099518
31,323.1943319838057,66.32388663967612,24.60447120666504,0.10387951880693436,0.10075177997350693,0.15583859384059906,1.7117955684661865,0.7982994318008423,1.5834494829177856,0.21815888583660126,0.34323227405548096,0.274862676858902,7.061631202697754,1.440943717956543,0.7375703454017639,0.16966888308525085,0.996824324131012,0.3984973132610321,0.48471951484680176,0.04950421303510666,0.24988165497779846,0.13865473866462708,0.1553308516740799,0.09454960376024246,0.13099642097949982,3.6769354343414307,54.7147331237793,5.984261989593506,24.428789138793945,0.5375273823738098,8.185164451599121,16.426685333251953,16.345937728881836,50.94921875,3.6888136863708496,0.2479555606842041
32,328.41293532338307,5.603648424543947,24.996572494506836,0.1193903312087059,0.1722474843263626,0.13516102731227875,2.166426181793213,0.34280532598495483,1.718373417854309,0.28013938665390015,0.30068838596343994,0.2378837615251541,9.292160987854004,1.668606162071228,0.6181403398513794,0.18571338057518005,1.0858224630355835,0.3058638274669647,0.7402980327606201,0.4174501299858093,0.47263863682746887,0.24740666151046753,0.16743558645248413,0.1379643976688385,0.1676100492477417,3.78452467918396,82.92182159423828,8.541284561157227,7.289587020874023,0.378799706697464,14.593448638916016,28.909709930419922,15.536378860473633,56.97306442260742,3.9316418170928955,0.20927777886390686
33,323.4372986003493,531.1212456645266,25.44987678527832,0.11933313310146332,0.30117812752723694,0.26318880915641785,1.60624098777771,1.4258226156234741,1.1925671100616455,0.22345507144927979,0.23967663943767548,0.2025957554578781,6.3619818687438965,0.9412564635276794,0.5365779995918274,0.17010276019573212,0.36807990074157715,0.17766325175762177,0.5747770071029663,1.552207589149475,0.38237836956977844,0.49661877751350403,0.11145678907632828,0.23663315176963806,0.14023061096668243,1.5199768543243408,53.10416793823242,5.959246635437012,9.556076049804688,0.3301565945148468,8.071006774902344,15.895215034484863,10.934463500976562,34.196075439453125,3.984393835067749,0.23078511655330658
34,369.6736957200875,820.4324429865667,25.615921020507812,0.12286527454853058,0.37074947357177734,0.320769727230072,1.8621904850006104,1.8389009237289429,1.1912262439727783,0.2388533502817154,0.2722878158092499,0.17520804703235626,7.458779811859131,0.9664074182510376,0.6720464825630188,0.18717776238918304,0.3213306665420532,0.16621412336826324,0.9375903010368347,2.1117758750915527,0.30420711636543274,0.6233683228492737,0.11475221812725067,0.3244894742965698,0.14272110164165497,1.0743592977523804,59.662899017333984,6.754582405090332,12.342750549316406,0.39017027616500854,9.667733192443848,19.041654586791992,11.778618812561035,36.20596694946289,4.618645668029785,0.23063315451145172
35,370.13023255813954,5.52093023255814,25.726062774658203,0.13283798098564148,0.16908353567123413,0.17644014954566956,2.1850900650024414,0.49129319190979004,1.6753427982330322,0.3034110963344574,0.32116878032684326,0.3555285334587097,8.177444458007812,1.900612473487854,0.6569099426269531,0.21437692642211914,1.08989417552948,0.318482905626297,0.807174801826477,0.248374342918396,0.5405425429344177,0.20836767554283142,0.1713973432779312,0.18410183489322662,0.13560621440410614,4.190022945404053,82.21349334716797,8.50804328918457,17.80752182006836,0.5209049582481384,13.239982604980469,25.01150131225586,18.21662139892578,59.87127685546875,4.302975177764893,0.2697514593601227
36,595.4061930992713,359.29746886392127,25.72675323486328,0.12669838964939117,0.24481940269470215,0.22871588170528412,1.617733359336853,2.1596932411193848,1.446589469909668,0.3096720278263092,0.2698901891708374,0.2733458876609802,6.9419403076171875,1.2637766599655151,0.5506914258003235,0.19090841710567474,0.6092073321342468,0.2504189610481262,0.603325605392456,0.9624301791191101,0.51128751039505,0.29697442054748535,0.13566529750823975,0.14084845781326294,0.13965028524398804,2.664937734603882,48.988929748535156,5.550136566162109,9.350358009338379,0.32820630073547363,9.376054763793945,18.475746154785156,10.785627365112305,35.1215934753418,3.5198662281036377,0.22796356678009033
